subscriber_id,ch,pch
21546240,1,1
4759482,0,0
21612413,0,0
21525122,0,0
21459512,0,1
21679625,1,1
21674438,1,1
21676644,1,1
21696439,1,1
21689316,0,1
21681909,0,0
21710495,1,1
21700538,1,1
21711334,1,1
13137502,0,0
21692812,0,1
21645800,0,0
21623457,1,0
21463119,0,0
21473954,0,0
21684008,1,0
21711585,1,1
21701920,1,0
21715674,0,0
21705914,1,1
21652419,0,1
21720069,0,1
21663467,1,1
21475712,0,0
21483953,1,1
21707213,1,1
21712274,0,1
21549654,1,0
21707694,1,1
21649624,0,0
21604895,0,0
21457246,0,1
21662096,1,1
21708689,1,1
21704119,1,1
21683299,0,0
19785464,0,0
21702954,1,1
21683165,1,1
21615895,0,0
21686030,1,1
1161853,0,0
21608328,0,1
21528605,1,1
21702233,1,1
21419553,0,0
21676733,1,1
21675796,1,1
21679676,1,1
21711007,0,1
7616398,0,0
21455049,0,0
21404555,0,0
21716479,0,1
7986084,1,0
21420910,0,0
21723727,0,1
21522820,0,1
21703150,1,1
21711373,1,1
21641319,0,0
21694632,1,0
21430898,0,0
21695764,1,1
21715107,0,0
21631038,1,0
21617057,0,0
21711421,0,0
21705353,1,1
21710756,0,0
21711480,1,1
21721815,0,1
21689233,1,1
22966520,0,0
21708261,0,0
12547011,0,0
21704859,0,1
21708219,1,1
21549812,1,1
21639900,0,1
21385069,0,0
21473954,0,0
21703259,1,1
24150212,0,0
21710059,1,0
21702802,1,1
21676142,1,1
21437960,0,0
21645800,0,0
21578875,0,0
21720958,0,1
196675,0,0
21469798,1,0
21722575,0,1
21701278,1,1
21544111,0,0
21679719,1,0
21711220,1,0
21361989,0,0
21681130,0,0
21721629,0,0
15471541,0,0
21710251,1,1
21702314,1,1
16485718,0,0
21685356,0,0
21681270,1,0
21689147,0,0
867039,0,0
21702018,1,1
21702967,1,1
21689448,1,1
21670383,1,1
21703670,1,1
21712460,0,0
21670460,0,0
21603360,1,1
21559101,0,0
21705053,1,0
21709946,0,0
21711709,1,1
11806125,0,0
21609947,0,0
21568718,0,0
21708929,1,1
21678789,1,1
21633707,1,1
21676713,1,1
21467996,1,1
21707895,1,1
21659188,1,1
21693364,1,1
21696676,0,0
21711189,1,1
21397466,0,0
21711687,1,1
21702380,1,1
21709969,1,1
21685689,0,0
21566288,0,0
21522912,0,0
21693630,1,1
21639374,0,0
21514879,1,1
21554384,0,0
21678809,1,1
21656724,1,0
21444146,1,1
21691032,0,1
21689231,1,1
21454664,0,0
21709437,1,1
21683253,1,1
21684444,1,1
21656041,0,0
21677885,0,0
21689292,1,1
21540651,0,0
21451594,0,0
21640618,0,0
21722745,0,1
21668122,1,1
21707896,1,1
21711181,1,0
21710756,0,0
21499334,0,1
21688636,0,0
21504996,0,0
21688099,1,1
21631038,1,0
21688157,1,1
21676902,1,1
21538972,0,0
21708603,1,1
21535656,0,1
13693143,1,1
21579728,0,0
13244825,0,0
21723123,0,1
21711421,1,0
21675779,1,1
21507915,0,0
21481781,0,0
21673382,1,1
21448080,0,0
21707802,1,1
21709616,1,1
21679625,1,1
21673414,0,0
21427986,0,0
21410413,0,0
21697200,0,1
21678813,1,1
21720130,0,1
21715796,0,0
21543339,0,0
21714307,0,0
21711182,1,1
17186024,0,0
5614229,0,0
21720590,0,1
21679685,0,0
21591888,0,0
16389715,0,0
21712015,0,1
21691533,1,1
21705457,1,1
21707896,1,1
21707967,1,1
21721311,0,1
21695199,1,1
21697287,1,1
21577136,1,0
21726282,0,1
24187202,0,0
21710305,1,1
21679824,0,0
21608328,0,1
21670858,1,1
21418109,0,0
21598009,0,0
21677918,1,1
21585189,0,0
21696685,0,1
21678298,1,1
21549448,0,0
21704978,1,1
21563321,1,1
21376048,0,0
22209851,0,0
21710117,1,0
21672103,1,1
21705336,1,1
21633985,0,1
21469832,1,0
21577176,0,0
21642280,0,1
21710205,1,0
21658829,0,1
18611932,0,0
21592102,0,0
21701441,1,0
21685928,0,0
21712291,0,1
21689664,1,1
21726770,0,1
21667725,1,1
21689902,1,1
21681120,1,1
21489275,0,0
21704841,1,1
21676063,1,0
21702589,1,1
21687549,0,0
21510670,0,0
21646686,0,1
21673657,1,1
21704083,1,1
21726077,0,0
21706466,0,1
21691032,0,1
12802918,0,0
21701873,1,1
21710767,1,1
21705189,1,1
21708104,1,1
21637819,0,0
21717460,0,1
21710907,1,1
16752217,0,0
21650991,1,0
21711735,0,1
21624547,0,0
21712659,0,1
21525154,0,1
21694497,1,0
16769594,0,0
21704850,1,1
21679199,1,1
21695374,0,1
21704776,1,1
21709437,1,1
21452475,1,1
21647864,0,1
21710310,0,1
21621208,0,0
21669352,1,0
22951640,0,0
21674027,1,1
21364242,0,0
21608974,1,1
21681948,1,1
21681256,1,1
21662136,1,1
21711136,1,1
10296312,1,0
21709868,1,1
21679596,1,1
21555057,1,1
21675711,1,1
21668735,1,1
21558654,0,0
21675386,1,1
21588871,0,0
21695437,1,1
21688363,1,1
21675773,1,1
21716062,0,1
21651744,1,1
21534872,0,0
1051931,0,0
21685986,1,1
21710176,1,1
21721629,0,0
21714834,0,1
21661214,1,1
21511231,0,0
158179,0,0
21712511,0,1
21704968,1,1
21532407,1,1
21654944,1,1
21453099,0,0
21708247,1,1
21625155,0,0
21720386,0,1
21673770,1,1
10132857,0,0
21456235,1,1
21682258,1,0
21682539,1,1
21704544,1,1
21720225,0,1
21686244,1,1
21489856,0,0
21704744,1,0
21561682,1,0
21716510,0,0
21667440,0,0
21569926,0,0
21648686,0,1
21708306,1,1
21689161,1,1
21694166,0,0
21570891,0,0
21455047,0,0
19823796,0,0
21469689,0,1
21705303,1,1
21677312,1,1
21608035,0,0
21703028,1,1
21467768,0,0
21660599,0,0
21712032,0,0
21549701,0,0
21700007,1,1
21707379,1,1
21678695,1,1
21709147,1,1
21686868,1,1
12980818,0,0
21707895,1,1
21544959,1,0
21715468,0,1
20521419,0,0
21673001,1,0
13709513,0,0
21558496,0,0
14803926,0,0
21726445,0,1
21602006,1,0
21697525,1,1
21687573,1,1
21695236,1,1
21658829,0,1
23675296,0,0
21646686,0,1
21689861,0,0
21629426,1,1
21703771,1,0
21684223,1,1
21524928,0,0
21657173,1,1
21664898,0,0
21659478,0,0
21671141,1,1
21723953,0,1
21708207,1,1
24093314,0,1
21635089,0,0
21486457,0,0
23541427,0,0
21681127,1,0
21703395,1,0
128779,0,0
21614862,1,1
21680275,1,1
6158225,0,0
21711127,1,1
21689272,1,1
21669400,1,0
21650386,1,1
21566072,0,0
22314137,0,1
21571496,1,0
21703601,1,1
21671960,1,1
21721311,0,1
21707036,1,1
21505526,1,1
21605855,1,1
21707270,1,1
21701452,1,1
21529072,0,1
21477848,0,0
21706931,1,1
8121338,0,0
21673869,1,1
21550026,1,1
21709040,1,1
21715252,0,1
21709864,1,1
21695314,1,1
21579728,0,0
21716658,0,1
21676902,1,1
10444156,0,1
21637843,1,1
21684853,1,1
7485710,1,1
21519357,0,0
21534054,0,0
15471541,0,0
21710402,1,1
21554589,0,0
10059286,1,1
21709989,1,1
21701764,1,1
21532033,0,0
21677493,1,1
21630053,1,1
21676063,1,1
21681959,1,1
16562592,0,0
9412775,0,0
21642175,0,0
21448216,0,1
21517279,0,1
21486677,1,1
21582790,0,0
22583297,0,0
21669556,1,1
21709578,1,1
21554466,0,0
21693812,0,1
21689664,1,1
21673229,1,1
11224928,0,0
21679015,0,1
21559785,0,1
21557805,0,1
21543794,1,1
21684968,1,1
21689811,1,1
21647075,0,0
21612030,0,0
21712076,0,1
21711314,1,1
21707992,1,1
21695199,1,1
21451594,0,0
21486162,0,0
21537201,0,0
21375650,0,1
21691704,1,1
21514319,0,0
